customer,st,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
BQ51587,California,F,College,541195,0,73,0,Personal Auto,Four-Door Car,365
JE21522,California,M,Bachelor,958733,39266,80,0,Personal Auto,Four-Door Car,384
WS47147,California,M,College,2210350,0,102,0,Personal Auto,SUV,489
ZA64638,Nevada,F,High School or Below,976494,0,98,1,Personal Auto,Four-Door Car,705
EW38459,Nevada,F,Bachelor,256715,40864,65,0,Corporate Auto,Four-Door Car,9
QW87316,Oregon,F,College,265062,39035,68,0,Personal Auto,Four-Door Car,244
IC43478,California,M,Bachelor,1126436,34923,98,0,Personal Auto,Two-Door Car,639
TE34064,California,M,High School or Below,216852,0,63,0,Personal Auto,Four-Door Car,453
WU60905,California,F,High School or Below,861066,0,111,0,Corporate Auto,SUV,532
YM18992,California,F,College,283464,24506,71,0,Personal Auto,Two-Door Car,511
PD55753,Oregon,M,High School or Below,893013,0,82,0,Personal Auto,Four-Door Car,554
KU56006,Arizona,F,College,553638,52220,70,1,Personal Auto,Four-Door Car,336
MJ69973,Arizona,M,High School or Below,284085,0,74,0,Personal Auto,Two-Door Car,402
TW43626,California,M,College,808288,53554,67,0,Personal Auto,Four-Door Car,327
XX84133,California,M,Bachelor,525473,34476,67,1,Corporate Auto,Four-Door Car,5
ZW84453,Arizona,F,Bachelor,511623,0,70,0,Personal Auto,Four-Door Car,131
HO29524,California,M,College,303464,68205,76,0,Personal Auto,Two-Door Car,99
VE89726,California,F,High School or Below,802489,0,119,1,Personal Auto,SUV,856
GE87503,California,M,High School or Below,1821114,53690,154,0,Personal Auto,SUV,739
PX90263,Oregon,M,High School or Below,512156,0,72,0,Personal Auto,Four-Door Car,518
NI17718,California,F,High School or Below,215017,0,61,0,Personal Auto,Four-Door Car,292
FY32213,California,F,High School or Below,559538,74454,71,0,Personal Auto,Four-Door Car,340
RZ13254,Nevada,F,Bachelor,756282,0,73,0,Personal Auto,Four-Door Car,350
GN45013,Oregon,M,High School or Below,538585,29664,71,0,Personal Auto,Four-Door Car,340
NM39588,Washington,F,Doctor,267805,72450,66,0,Corporate Auto,Four-Door Car,84
KU84464,Nevada,F,Bachelor,942256,47272,79,3,Personal Auto,Four-Door Car,64
YH43527,Oregon,F,College,360586,21585,92,0,Corporate Auto,Four-Door Car,441
RO30676,California,F,College,776259,23827,106,2,Personal Auto,Four-Door Car,37
QL59704,Arizona,F,College,2344490,69906,74,2,Corporate Auto,Four-Door Car,202
QH19450,California,F,High School or Below,255817,0,72,0,Corporate Auto,Four-Door Car,345
SA54664,Washington,M,Master,265438,73196,66,1,Personal Auto,Four-Door Car,85
CI38330,Washington,M,Bachelor,254978,72217,6464,0,Personal Auto,Four-Door Car,91
WB38524,California,M,High School or Below,296959,46131,74,0,Personal Auto,Two-Door Car,355
CE56187,Oregon,F,Master,436312,54514,109,3,Personal Auto,SUV,286
JL19416,California,F,High School or Below,588430,0,161,0,Personal Auto,SUV,1159
JZ61422,Nevada,F,College,527219,96668,66,0,Personal Auto,Four-Door Car,316
LA13377,California,M,Doctor,550989,78879,69,1,Personal Auto,Four-Door Car,466
NC99948,Nevada,M,College,1631368,0,69,0,Personal Auto,Four-Door Car,331
QD34785,Arizona,F,Bachelor,567805,0,76,0,Personal Auto,Four-Door Car,364
RO26085,California,F,Bachelor,1210120,0,112,0,Personal Auto,Luxury,1252
ES57969,Oregon,M,Bachelor,245357,29735,69,0,Personal Auto,Four-Door Car,331
JK55587,California,M,High School or Below,507566,23082,65,0,Special Auto,Four-Door Car,312
RN97635,Arizona,M,Bachelor,321497,53984,80,0,Corporate Auto,Four-Door Car,421
BI76326,California,F,College,1227534,52135,156,0,Personal Auto,SUV,430
JA34909,California,F,College,272221,17576,71,0,Corporate Auto,Four-Door Car,398
OJ90342,Oregon,F,Bachelor,245744,29486,62,0,Personal Auto,Four-Door Car,7
CM88932,Oregon,F,Master,355484,58557,88,0,Corporate Auto,Four-Door Car,55
JJ97525,California,M,Bachelor,492954,25632,63,0,Personal Auto,Two-Door Car,351
XV21647,California,F,High School or Below,803645,0,112,0,Personal Auto,Luxury,806
MC83487,Arizona,M,Bachelor,427691,18768,68,3,Corporate Auto,Four-Door Car,647
BL90769,California,F,Bachelor,3347334,33190,106,0,Personal Auto,SUV,508
CR57148,Oregon,F,Master,596058,47945,74,0,Personal Auto,Two-Door Car,128
CP85232,Arizona,M,College,4479546,58778,126,0,Special Auto,SUV,302
YL74732,California,F,High School or Below,383211,15192,100,0,Personal Auto,SUV,480
FG16766,California,F,Bachelor,683793,51859,171,0,Personal Auto,SUV,1003
NV55438,Nevada,F,High School or Below,528526,23422,72,0,Personal Auto,Two-Door Car,518
RM10880,California,F,College,309651,21604,79,0,Corporate Auto,Four-Door Car,379
GL56175,Arizona,M,College,358971,79298,90,0,Personal Auto,Four-Door Car,244
UK52289,Arizona,F,Bachelor,258240,76731,64,0,Special Auto,Four-Door Car,201
OT85112,Washington,M,College,340391,38460,88,1,Personal Auto,Four-Door Car,91
BC62782,Arizona,F,College,1357567,48534,115,1,Personal Auto,SUV,552
TI19722,Washington,M,Doctor,343613,30817,88,0,Corporate Auto,Four-Door Car,91
JP30654,Oregon,F,College,2868582,48412,104,0,Personal Auto,SUV,707
UM45563,Washington,M,Bachelor,450267,68798,114,0,Personal Auto,SUV,92
EN60878,Oregon,M,Bachelor,618311,23712,85,0,Personal Auto,Four-Door Car,376
JF36291,California,M,College,387364,28142,105,0,Personal Auto,Luxury,701
BK59444,California,F,Master,1892933,72196,68,0,Personal Auto,Four-Door Car,152
MK70700,California,M,Master,555329,68197,69,0,Personal Auto,Four-Door Car,176
IW71076,California,M,Bachelor,501125,75248,63,0,Corporate Auto,Four-Door Car,104
AP98768,California,F,College,1044244,0,98,0,Personal Auto,Four-Door Car,941
OM24164,Nevada,M,Bachelor,219961,0,65,1,Personal Auto,Two-Door Car,468
HR85211,Washington,F,Master,512317,89879,63,0,Personal Auto,Two-Door Car,94
VC87846,Oregon,M,High School or Below,748431,46998,96,0,Corporate Auto,Four-Door Car,460
ZM92052,Oregon,M,Bachelor,261302,57099,67,0,Personal Auto,Two-Door Car,67
ON73702,Arizona,F,Bachelor,908063,33897,114,0,Corporate Auto,SUV,539
QQ90441,Nevada,F,High School or Below,1377097,59207,116,0,Personal Auto,Four-Door Car,556
HU35721,Oregon,M,High School or Below,287682,40171,73,0,Personal Auto,Four-Door Car,350
YP47665,Washington,M,Doctor,540891,80192,67,0,Personal Auto,Four-Door Car,95
FU99476,Washington,M,High School or Below,677030,74422,85,1,Personal Auto,Four-Door Car,95
AG85615,Oregon,M,College,2414387,0,87,0,Special Auto,Four-Door Car,626
OY74069,Arizona,F,College,353805,0,67,5,Personal Auto,Four-Door Car,321
DJ91267,Nevada,F,Bachelor,2909123,34226,244,0,Personal Auto,Luxury,494
KB72438,California,F,High School or Below,1983420,65989,123,1,Personal Auto,SUV,115
TR67616,Oregon,M,High School or Below,473136,30686,61,0,Corporate Auto,Four-Door Car,19
GF65731,California,F,Master,3553784,0,113,0,Personal Auto,Luxury,799
HB67642,Arizona,F,High School or Below,3461137,20090,109,0,Personal Auto,Luxury,523
DP84567,California,M,High School or Below,2021630,0,183,0,Personal Auto,Luxury,878
VV77534,Oregon,M,College,1397651,77094,176,0,Personal Auto,SUV,444
GL67540,California,F,College,590408,97413,73,0,Personal Auto,Four-Door Car,268
SV50502,Oregon,F,Master,559583,79189,69,0,Corporate Auto,Four-Door Car,331
UK59698,California,F,High School or Below,229430,0,62,0,Personal Auto,Two-Door Car,297
OA57352,Arizona,F,College,627391,18577,86,0,Personal Auto,Four-Door Car,412
ZF84449,Oregon,F,College,372672,0,112,1,Special Auto,Luxury,806
AX86150,Washington,M,High School or Below,265671,62777,67,0,Personal Auto,Two-Door Car,101
HG39060,Oregon,M,Bachelor,511068,0,74,0,Corporate Auto,Four-Door Car,532
EM29359,Nevada,M,College,712659,17483,183,0,Personal Auto,Luxury,1317
SF57173,Oregon,M,Master,460163,84394,114,0,Personal Auto,SUV,691
OT47603,Oregon,M,College,915523,0,127,0,Personal Auto,Luxury,804
SW31412,Oregon,F,College,1480805,41440,62,1,Personal Auto,Four-Door Car,297
JS36322,Arizona,M,High School or Below,890167,0,136,1,Personal Auto,Luxury,1090
RE81445,Oregon,F,College,573459,98132,71,0,Personal Auto,Two-Door Car,50
RM24280,Oregon,F,High School or Below,417769,0,112,0,Personal Auto,Four-Door Car,537
LC25393,California,M,Bachelor,2777628,88220,230,0,Personal Auto,Luxury,151
UX38930,Arizona,F,Master,1036434,58327,129,0,Personal Auto,SUV,347
HD95496,Oregon,M,Master,785190,25950,66,0,Personal Auto,Two-Door Car,271
RX24650,Oregon,M,High School or Below,477294,20993,133,0,Corporate Auto,SUV,638
DW19309,Oregon,M,High School or Below,1422650,65726,177,0,Corporate Auto,SUV,849
MT41386,Washington,M,Bachelor,287543,84768,72,0,Personal Auto,Two-Door Car,110
WZ40465,Washington,F,Bachelor,504129,36234,63,0,Personal Auto,Four-Door Car,113
DB42794,California,M,College,436293,58842,110,0,Personal Auto,Four-Door Car,528
JB50798,Oregon,F,Master,962452,25629,124,2,Corporate Auto,Luxury,595
IP69763,Washington,F,College,2191440,77311,181,0,Personal Auto,SUV,113
TE35785,California,M,Doctor,694842,0,196,2,Personal Auto,Luxury,1337
HX74855,Washington,M,High School or Below,247152,95697,61,0,Personal Auto,Two-Door Car,114
QN65180,Oregon,F,Bachelor,2190391,22254,79,0,Personal Auto,Four-Door Car,125
GE47180,Nevada,M,High School or Below,902882,65974,113,0,Personal Auto,Luxury,235
VQ38776,Oregon,F,College,530375,0,76,0,Personal Auto,Four-Door Car,395
BH86846,Washington,M,High School or Below,2070825,92079,65,1,Corporate Auto,Four-Door Car,114
IN17648,Nevada,M,High School or Below,512376,0,74,0,Personal Auto,Two-Door Car,772
DF95759,Oregon,M,College,949234,0,132,0,Personal Auto,SUV,633
QG45324,Oregon,F,High School or Below,820486,0,73,0,Personal Auto,Four-Door Car,350
MN61620,Arizona,F,College,987729,67752,131,4,Personal Auto,Luxury,168
YH86390,California,F,Bachelor,481500,25398,64,0,Corporate Auto,Four-Door Car,307
FY13480,California,M,High School or Below,627701,0,88,0,Personal Auto,Four-Door Car,633
YH61661,California,M,High School or Below,826063,33321,105,0,Special Auto,SUV,504
NL93182,Nevada,M,Bachelor,254945,0,78,0,Corporate Auto,Four-Door Car,845
LN31673,Washington,Unknown,College,1131808,38923,99,2,Personal Auto,Four-Door Car,115
WE68644,Oregon,F,Bachelor,380392,20325,100,0,Personal Auto,Luxury,668
EZ30498,Oregon,M,Bachelor,863540,13129,117,0,Personal Auto,SUV,700
QY74517,Oregon,F,High School or Below,551055,0,73,0,Personal Auto,Four-Door Car,525
NM88660,Nevada,M,Master,358588,49080,91,0,Corporate Auto,Four-Door Car,25
MZ82036,Nevada,M,College,488925,42536,63,0,Personal Auto,Four-Door Car,375
ID20929,Oregon,M,Bachelor,275694,29926,74,0,Corporate Auto,Four-Door Car,418
EY50028,Nevada,M,Doctor,328954,0,86,0,Corporate Auto,Two-Door Car,398
TT82373,California,F,Bachelor,1093717,21450,138,0,Personal Auto,Luxury,938
OH64088,California,M,High School or Below,737556,33345,65,0,Corporate Auto,Four-Door Car,338
SK97780,California,F,Bachelor,1011077,15752,90,0,Corporate Auto,Two-Door Car,339
IO33050,Oregon,F,High School or Below,511941,40169,65,1,Personal Auto,Four-Door Car,302
XA55917,California,F,College,853383,26049,113,1,Personal Auto,SUV,619
JK32620,Nevada,M,College,222476,0,68,0,Personal Auto,Four-Door Car,326
RQ19236,Arizona,M,Doctor,804280,55411,100,0,Personal Auto,Luxury,259
QC47433,Oregon,M,College,255443,12459,70,0,Personal Auto,Four-Door Car,336
RA93608,Oregon,M,Bachelor,1807394,64620,76,1,Personal Auto,Two-Door Car,364
XH97711,California,M,Bachelor,243050,83140,61,0,Corporate Auto,Four-Door Car,179
AU96286,Oregon,F,Bachelor,316765,0,92,0,Corporate Auto,Four-Door Car,662
KC17170,Arizona,F,Bachelor,546560,54422,68,0,Corporate Auto,Four-Door Car,75
ZN47335,California,M,College,1035751,68309,131,0,Corporate Auto,SUV,306
EI46264,California,M,High School or Below,253781,56621,65,2,Personal Auto,Four-Door Car,84
EK87864,Arizona,F,College,282194,38977,70,0,Special Auto,Four-Door Car,139
GV45403,Arizona,M,Bachelor,775712,0,111,0,Corporate Auto,Two-Door Car,607
QK31192,Arizona,M,High School or Below,407913,0,114,0,Corporate Auto,Two-Door Car,631
LU89008,Arizona,F,College,595554,0,83,0,Personal Auto,Four-Door Car,628
NS10490,Oregon,F,Bachelor,1415861,83235,70,0,Personal Auto,Two-Door Car,336
KL98495,Nevada,M,College,848723,0,74,0,Personal Auto,Two-Door Car,426
IU96845,Arizona,M,College,628547,32390,80,0,Personal Auto,Four-Door Car,91
QL93655,Oregon,F,High School or Below,1147348,66538,95,0,Personal Auto,Two-Door Car,317
PF40592,Washington,F,College,494263,23285,65,0,Personal Auto,Two-Door Car,118
LZ34046,Oregon,M,Bachelor,2359468,76358,66,0,Personal Auto,Four-Door Car,86
JC80093,Washington,M,Master,257250,21104,66,0,Personal Auto,Four-Door Car,118
YE88490,Arizona,F,College,538089,55350,67,0,Personal Auto,Four-Door Car,321
YC80498,California,F,College,477055,12964,65,0,Personal Auto,Two-Door Car,362
AI85843,Arizona,F,Master,675665,33288,86,2,Personal Auto,Four-Door Car,221
XD66024,Arizona,F,College,593601,0,84,0,Personal Auto,Four-Door Car,980
FY51713,Arizona,F,Bachelor,357076,56168,88,0,Personal Auto,Four-Door Car,614
PH26378,California,M,College,601996,0,92,0,Personal Auto,Four-Door Car,662
WQ18638,Oregon,M,High School or Below,542686,23105,69,0,Personal Auto,Two-Door Car,331
KY14688,Oregon,F,Master,273031,36218,68,0,Personal Auto,Four-Door Car,145
TC97762,California,F,High School or Below,498268,52275,62,0,Corporate Auto,Four-Door Car,374
QC87108,Oregon,F,College,876926,49665,74,0,Personal Auto,Four-Door Car,355
CX12134,Nevada,M,High School or Below,422061,32471,110,0,Personal Auto,Two-Door Car,528
SM73248,Arizona,M,High School or Below,1153750,0,86,1,Corporate Auto,Two-Door Car,619
CK19789,California,F,Master,588718,62773,73,0,Personal Auto,Four-Door Car,80
UV12583,California,F,College,470058,76694,117,0,Personal Auto,SUV,561
JC11405,Oregon,M,High School or Below,1096395,55687,276,0,Personal Auto,Luxury,1324
KA89683,Arizona,F,High School or Below,252317,0,70,0,Personal Auto,Four-Door Car,504
BG85305,Nevada,M,Doctor,375780,36633,96,1,Personal Auto,Four-Door Car,460
UQ87917,Oregon,M,High School or Below,1294173,77060,106,0,Personal Auto,SUV,468
XN11823,Nevada,F,Bachelor,376446,92600,94,0,Corporate Auto,Two-Door Car,842
OS46571,California,M,High School or Below,688955,0,66,0,Personal Auto,Four-Door Car,475
PX17116,Nevada,M,College,362345,0,111,2,Corporate Auto,SUV,1171
RP19541,Arizona,M,College,758211,64801,64,0,Personal Auto,Four-Door Car,268
ZR25747,Oregon,F,College,827774,45257,103,0,Corporate Auto,Two-Door Car,494
NQ86532,California,M,High School or Below,257645,26854,66,0,Personal Auto,Four-Door Car,475
JY27336,Oregon,F,College,820538,85840,102,2,Corporate Auto,SUV,138
PB54378,Oregon,F,Doctor,1958246,26463,72,0,Corporate Auto,Four-Door Car,345
SV38190,Nevada,F,Bachelor,648152,30689,81,0,Personal Auto,Four-Door Car,467
CV24005,Oregon,M,High School or Below,259931,29590,66,0,Corporate Auto,Two-Door Car,467
EX28656,Oregon,F,College,983033,25965,253,0,Personal Auto,Luxury,1214
CF57022,Oregon,M,Bachelor,1044265,17269,139,0,Personal Auto,SUV,667
GM16780,Oregon,M,College,3605753,90330,137,3,Corporate Auto,Luxury,192
BX94438,California,F,High School or Below,847003,0,113,0,Corporate Auto,SUV,619
RM41745,California,F,High School or Below,827878,0,110,0,Personal Auto,Four-Door Car,1002
XR70252,California,F,High School or Below,478893,0,67,1,Personal Auto,Two-Door Car,321
YH92099,Arizona,F,Bachelor,308799,18558,80,0,Special Auto,Four-Door Car,384
SG81493,Arizona,M,Bachelor,444373,46384,113,0,Corporate Auto,Four-Door Car,251
ZX23819,Oregon,F,High School or Below,798408,0,72,0,Personal Auto,Two-Door Car,866
FJ54907,Oregon,F,College,718097,42303,180,0,Personal Auto,Luxury,1210
CU26127,California,F,Bachelor,1565603,71731,130,0,Corporate Auto,SUV,599
YH60476,Oregon,M,High School or Below,578018,51066,74,0,Corporate Auto,Four-Door Car,787
ZZ97035,California,M,College,2071494,0,203,0,Corporate Auto,Luxury,2027
GE82737,Nevada,F,Bachelor,533735,0,86,3,Personal Auto,Four-Door Car,619
KY21873,Arizona,M,College,505082,0,69,0,Personal Auto,Two-Door Car,72
UA51318,Arizona,F,High School or Below,511662,26173,68,1,Corporate Auto,Four-Door Car,449
BV55014,Oregon,M,Bachelor,726873,24445,63,0,Personal Auto,Two-Door Car,302
HX21307,Oregon,M,College,261661,72302,66,0,Personal Auto,Two-Door Car,316
LQ68252,Oregon,M,High School or Below,373843,27208,102,0,Personal Auto,SUV,489
CR92802,California,F,Master,272535,36650,69,1,Special Auto,Four-Door Car,56
SL35268,Arizona,M,College,545386,30855,68,0,Corporate Auto,Four-Door Car,259
RD62882,Arizona,F,Bachelor,684615,0,95,0,Personal Auto,Two-Door Car,456
JS42382,Oregon,M,Master,617291,99960,76,0,Corporate Auto,Four-Door Car,364
BT30554,Arizona,F,Bachelor,1034632,0,98,0,Personal Auto,Four-Door Car,470
VP57424,Nevada,F,Bachelor,699700,55873,88,0,Personal Auto,Four-Door Car,299
VU19243,Arizona,F,High School or Below,419625,18052,111,0,Personal Auto,Four-Door Car,699
TA82973,Oregon,F,High School or Below,785810,28937,104,2,Personal Auto,SUV,117
GK71720,Oregon,F,High School or Below,606434,0,86,0,Personal Auto,Four-Door Car,545
OQ61223,California,M,College,1749752,0,73,0,Personal Auto,Two-Door Car,350
LL62746,Oregon,M,Doctor,897064,12829,118,0,Personal Auto,SUV,328
JQ56711,Oregon,F,Master,592311,92163,73,0,Personal Auto,Two-Door Car,66
AW77988,Oregon,M,High School or Below,3585059,17588,192,0,Personal Auto,Luxury,1382
QP84605,Washington,F,Bachelor,870984,41546,111,0,Corporate Auto,Four-Door Car,121
MY97912,Arizona,M,College,1330933,0,127,0,Personal Auto,SUV,609
IB87349,California,M,High School or Below,452850,70340,113,0,Special Auto,Four-Door Car,542
AW73065,Oregon,F,High School or Below,279190,0,74,0,Personal Auto,Four-Door Car,532
BW80872,Washington,M,High School or Below,443441,34549,111,0,Personal Auto,Four-Door Car,125
PX70175,Arizona,M,College,799600,93459,99,0,Personal Auto,Four-Door Car,655
KF75098,Arizona,M,Bachelor,512973,86148,65,2,Personal Auto,Four-Door Car,312
IS50283,California,F,Bachelor,569717,27048,72,0,Corporate Auto,Four-Door Car,345
MY64920,Oregon,F,College,921713,73259,115,0,Personal Auto,SUV,673
KN34250,Oregon,F,College,1020892,35482,129,0,Corporate Auto,SUV,619
GN46207,Oregon,F,Master,417068,29462,107,1,Personal Auto,SUV,513
KL57176,Oregon,F,College,450540,67801,115,1,Personal Auto,SUV,23
MN94234,California,M,High School or Below,310756,0,94,4,Personal Auto,Two-Door Car,451
JY90595,Arizona,M,High School or Below,552866,16042,73,0,Personal Auto,Two-Door Car,350
HK26543,California,M,High School or Below,504586,28056,64,1,Personal Auto,Four-Door Car,307
PN86062,California,M,High School or Below,296272,16495,85,3,Corporate Auto,Four-Door Car,408
VW27730,California,F,Master,866595,41163,108,0,Corporate Auto,SUV,231
SH55671,Arizona,F,College,1141344,0,161,1,Personal Auto,Luxury,772
MO56878,California,M,Bachelor,1548843,33799,109,3,Corporate Auto,SUV,664
VO38365,Washington,F,College,886114,90125,110,0,Corporate Auto,SUV,128
SV35618,Oregon,F,Bachelor,593474,87747,147,1,Personal Auto,SUV,46
RX12347,Nevada,M,College,354323,35695,90,0,Personal Auto,Four-Door Car,432
FR55658,California,M,Master,349002,90985,87,0,Personal Auto,Four-Door Car,78
XS12556,California,F,College,368309,0,101,0,Corporate Auto,Luxury,564
ZU73588,California,M,College,598977,66839,154,0,Personal Auto,Luxury,739
WT43034,California,F,High School or Below,1250084,0,165,0,Personal Auto,SUV,792
VM13430,Oregon,F,Bachelor,860915,79090,107,0,Corporate Auto,SUV,289
TC78849,Oregon,M,Bachelor,249745,24825,64,0,Personal Auto,Two-Door Car,155
VC34764,California,M,College,701917,26806,63,0,Personal Auto,Four-Door Car,302
WO90953,Oregon,F,College,538792,56835,67,0,Personal Auto,Two-Door Car,326
IU47468,Oregon,F,Bachelor,616555,0,88,0,Special Auto,Two-Door Car,653
KO46064,California,M,Bachelor,273020,46135,69,0,Personal Auto,Four-Door Car,103
RB34917,Arizona,F,Bachelor,516211,0,73,0,Personal Auto,Four-Door Car,809
BI38192,Oregon,F,High School or Below,793706,22862,67,0,Personal Auto,Two-Door Car,321
PU18983,Oregon,F,High School or Below,860815,21450,110,2,Personal Auto,Luxury,528
SW79912,Oregon,M,Bachelor,263254,95854,65,0,Personal Auto,Two-Door Car,312
ES39217,Oregon,F,Bachelor,778500,44897,99,1,Personal Auto,Four-Door Car,580
KP72427,Washington,M,High School or Below,2163983,64455,108,0,Personal Auto,SUV,133
UA19178,Oregon,F,Master,498082,53265,62,0,Personal Auto,Four-Door Car,238
PR53785,Arizona,F,High School or Below,745723,0,198,1,Personal Auto,Luxury,1577
XF57481,Washington,M,Master,1064093,50450,90,0,Personal Auto,Two-Door Car,135
CN90378,California,F,High School or Below,686250,54780,88,3,Personal Auto,Four-Door Car,135
KI56154,Nevada,M,High School or Below,904898,0,119,0,Personal Auto,Luxury,571
UI55951,California,M,Bachelor,554803,67798,69,0,Personal Auto,Four-Door Car,331
FF28650,Oregon,M,Bachelor,831268,21442,118,0,Personal Auto,SUV,566
FS55302,California,M,Bachelor,238998,27615,62,1,Personal Auto,Four-Door Car,297
TN79487,California,M,Bachelor,445811,17622,65,1,Personal Auto,Four-Door Car,312
HG32616,Nevada,M,High School or Below,529574,50200,135,0,Personal Auto,Luxury,637
UK41984,Arizona,F,Doctor,383960,0,112,2,Personal Auto,SUV,537
LZ52266,California,F,High School or Below,373150,0,96,0,Personal Auto,Four-Door Car,460
PM27367,California,F,Master,277890,73570,70,1,Special Auto,Two-Door Car,75
ZK21724,Oregon,F,High School or Below,401654,0,111,0,Personal Auto,SUV,799
BH35482,Washington,M,Doctor,493094,70412,61,0,Corporate Auto,Two-Door Car,136
QE22757,Nevada,M,Doctor,249131,36631,62,0,Personal Auto,Four-Door Car,67
ON77649,Oregon,F,College,290887,35895,73,0,Personal Auto,Four-Door Car,312
RN82884,Arizona,F,College,428294,40864,109,1,Personal Auto,SUV,166
CQ75652,Oregon,M,College,834162,0,118,0,Personal Auto,Four-Door Car,566
FF58467,Arizona,F,Master,509078,93018,63,0,Personal Auto,Four-Door Car,135
BS83666,Oregon,M,Bachelor,736618,70014,62,0,Corporate Auto,Four-Door Car,17
WO29605,Oregon,F,College,243687,48875,61,0,Personal Auto,Two-Door Car,1
TL77607,California,M,Bachelor,885268,67969,74,0,Personal Auto,Four-Door Car,197
EZ50606,Oregon,F,High School or Below,2387547,0,108,0,Corporate Auto,SUV,612
OS39723,Oregon,F,Doctor,560049,68665,69,0,Personal Auto,Two-Door Car,331
FN69743,California,M,College,463654,26802,66,1,Corporate Auto,Two-Door Car,316
XW96958,Nevada,M,High School or Below,757334,0,110,0,Corporate Auto,Four-Door Car,1193
TU92578,California,M,College,1469663,45345,125,0,Personal Auto,SUV,600
TL43709,Washington,M,Bachelor,897214,89689,74,0,Personal Auto,Four-Door Car,136
YE68736,California,F,Bachelor,772484,32051,193,1,Personal Auto,SUV,926
OB96537,Oregon,M,Master,594667,81139,74,0,Special Auto,Four-Door Car,392
EU68825,Oregon,F,Master,800054,63834,100,1,Personal Auto,Luxury,215
CC31456,Arizona,M,Bachelor,645756,37548,81,0,Special Auto,Four-Door Car,160
DJ77787,Arizona,F,High School or Below,728144,0,69,3,Personal Auto,Four-Door Car,371
LN26837,California,M,High School or Below,259243,72421,65,0,Personal Auto,Four-Door Car,312
YI92916,Nevada,M,Master,467842,83102,116,0,Corporate Auto,Four-Door Car,443
NW54906,Oregon,M,College,1386992,28432,118,0,Personal Auto,SUV,612
ME77513,Nevada,F,Master,871777,83707,108,0,Corporate Auto,Four-Door Car,290
UK76891,California,F,College,523398,63259,65,0,Corporate Auto,Four-Door Car,316
SI26888,Nevada,F,High School or Below,476418,0,67,0,Personal Auto,Four-Door Car,405
YD74948,Oregon,F,College,247246,63860,62,0,Personal Auto,Four-Door Car,208
HB64268,Washington,M,Bachelor,281369,43836,73,0,Personal Auto,Four-Door Car,138
BW52697,California,F,College,550505,86132,68,0,Personal Auto,Two-Door Car,301
NL41409,Oregon,F,Bachelor,260620,28519,66,0,Personal Auto,Two-Door Car,456
OD69005,Arizona,F,High School or Below,1048194,39102,88,0,Personal Auto,Four-Door Car,152
ZZ91716,California,F,Bachelor,325676,0,89,0,Personal Auto,Four-Door Car,491
UK70255,California,F,College,3047578,97298,128,0,Personal Auto,Luxury,48
QT25383,Nevada,M,High School or Below,636490,41986,84,2,Personal Auto,Two-Door Car,430
AW18068,Arizona,M,High School or Below,946850,0,88,0,Personal Auto,Two-Door Car,633
NS45347,Oregon,F,College,563145,17291,73,0,Personal Auto,Four-Door Car,350
FV19421,California,M,Bachelor,778099,0,74,0,Personal Auto,Four-Door Car,246
XW89091,California,M,College,981652,37256,62,0,Personal Auto,Four-Door Car,128
YC11951,Oregon,M,High School or Below,751913,96306,95,1,Corporate Auto,Four-Door Car,185
UY18770,California,F,Bachelor,1017971,14290,271,0,Personal Auto,Luxury,1300
RA49085,California,F,College,277283,37038,71,1,Corporate Auto,Four-Door Car,9
BG84194,Oregon,M,College,403750,90760,103,2,Special Auto,SUV,133
PT64580,Washington,M,Master,419196,77048,103,0,Personal Auto,SUV,141
MR67738,Oregon,F,High School or Below,267686,54480,67,0,Personal Auto,Four-Door Car,321
DM95829,California,M,College,252395,16244,68,0,Personal Auto,Two-Door Car,623
DB75522,California,F,College,698840,22436,89,0,Special Auto,Four-Door Car,427
LM34525,Washington,F,College,874205,71592,72,0,Personal Auto,Four-Door Car,141
WW30771,Arizona,M,Master,267331,28728,67,0,Personal Auto,Four-Door Car,321
QP65569,Arizona,M,High School or Below,1215732,57449,103,0,Personal Auto,Four-Door Car,494
TN50051,California,F,Doctor,295776,83318,73,0,Personal Auto,Two-Door Car,211
UO86707,Washington,M,Bachelor,717390,75217,61,1,Personal Auto,Four-Door Car,147
JA41698,Nevada,M,Bachelor,309953,0,102,5,Corporate Auto,SUV,862
NX18774,Oregon,M,Bachelor,841568,55308,107,0,Corporate Auto,SUV,513
DA69469,Oregon,F,College,2684312,36068,97,0,Personal Auto,Two-Door Car,113
CN23147,Oregon,M,Bachelor,1305717,48804,112,1,Corporate Auto,Four-Door Car,537
RA68844,Oregon,M,College,959995,0,131,0,Personal Auto,SUV,943
GH42026,Oregon,M,Bachelor,853510,55790,111,0,Personal Auto,SUV,117
BD16530,Arizona,F,Bachelor,829348,70258,69,0,Personal Auto,Four-Door Car,225
JH91579,Oregon,F,Bachelor,684615,0,95,0,Personal Auto,Two-Door Car,456
WK23685,Oregon,F,Bachelor,663685,47274,83,1,Corporate Auto,Four-Door Car,182
GR62267,Washington,F,College,560908,44705,71,0,Personal Auto,Two-Door Car,148
PI78084,Arizona,M,High School or Below,507732,0,73,0,Personal Auto,Two-Door Car,525
GF97874,Washington,F,Master,527562,70446,65,0,Personal Auto,Four-Door Car,155
